2012-10-11T00:41:56+02:00 ERROR {"errstr":"Undefined variable: obj","errfile":"\/var\/www\/apps\/billing\/controller.class.php","errline":112,"errno":8}
2012-11-04T17:01:51+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:01:53+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:01:53+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:01:53+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:01:53+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:01:53+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:01:53+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:02:25+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:02:25+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:02:25+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:02:25+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:02:25+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:02:25+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:02:55+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:02:55+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:02:55+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:02:55+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:02:55+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:02:55+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:04:06+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:04:06+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:04:06+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:04:06+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:04:06+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:04:06+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:04:07+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:04:07+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:04:07+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:04:07+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:04:07+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:04:07+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:04:13+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:04:14+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:04:14+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:04:14+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:04:14+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:04:14+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:04:14+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:04:15+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:04:34+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:42:30+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:42:30+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:42:30+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:42:30+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:42:30+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:42:30+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:42:33+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:42:35+01:00 ERROR {"errstr":"Undefined index: assets","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:42:35+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:42:35+01:00 ERROR {"errstr":"Undefined index: assets","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:42:35+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:42:35+01:00 ERROR {"errstr":"unable to load class: app\\assets in \/var\/www\/apps\/assets\/controller.class.php or \/var\/www\/apps\/assets.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:42:35+01:00 ERROR {"errstr":"Page ico does not exist in app \\app\\assets.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:44:28+01:00 ERROR {"errstr":"Undefined index: assets","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:44:28+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:44:28+01:00 ERROR {"errstr":"Undefined index: assets","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:44:28+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:44:28+01:00 ERROR {"errstr":"unable to load class: app\\assets in \/var\/www\/apps\/assets\/controller.class.php or \/var\/www\/apps\/assets.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:44:28+01:00 ERROR {"errstr":"Page ico does not exist in app \\app\\assets.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:44:29+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:44:34+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:44:34+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:44:34+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:44:34+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:44:34+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:44:34+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:44:40+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:45:51+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:45:56+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:45:56+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:45:56+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:45:56+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:45:56+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:45:56+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:46:04+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:46:09+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:46:09+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:46:09+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:46:09+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:46:09+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:46:09+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:46:17+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:46:18+01:00 ERROR {"errstr":"Undefined index: assets","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:46:18+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T17:46:18+01:00 ERROR {"errstr":"Undefined index: assets","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:46:18+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T17:46:18+01:00 ERROR {"errstr":"unable to load class: app\\assets in \/var\/www\/apps\/assets\/controller.class.php or \/var\/www\/apps\/assets.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T17:46:18+01:00 ERROR {"errstr":"Page ico does not exist in app \\app\\assets.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:46:24+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:46:27+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\products.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T17:46:28+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T18:41:19+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T18:41:19+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T18:41:19+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T18:41:19+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T18:41:19+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T18:41:19+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T18:41:37+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:19:03+01:00 ERROR {"errstr":"unable to load class: app\\assets in \/var\/www\/apps\/assets\/controller.class.php or \/var\/www\/apps\/assets.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T20:19:03+01:00 ERROR {"errstr":"Page ico does not exist in app \\app\\assets.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:19:06+01:00 ERROR {"errstr":"Undefined index: assets","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T20:19:06+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T20:19:06+01:00 ERROR {"errstr":"Undefined index: assets","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T20:19:06+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T20:19:06+01:00 ERROR {"errstr":"unable to load class: app\\assets in \/var\/www\/apps\/assets\/controller.class.php or \/var\/www\/apps\/assets.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T20:19:06+01:00 ERROR {"errstr":"Page ico does not exist in app \\app\\assets.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:19:07+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:19:27+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:19:40+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:28:57+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T20:28:57+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T20:28:57+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T20:28:57+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T20:28:57+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T20:28:57+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:30:15+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:30:17+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T20:30:17+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T20:30:17+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T20:30:17+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T20:30:17+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T20:30:17+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:30:18+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:30:20+01:00 ERROR {"errstr":"Use of undefined constant truu - assumed 'truu'","errfile":"\/var\/www\/helpers\/transform\/PDF.class.php","errline":63,"errno":8}
2012-11-04T20:30:29+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:30:32+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:30:34+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T20:30:34+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
2012-11-04T20:30:34+01:00 ERROR {"errstr":"Undefined index: favicon.ico","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T20:30:34+01:00 ERROR {"errstr":"Trying to get property of non-object","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":368,"errno":8}
2012-11-04T20:30:34+01:00 ERROR {"errstr":"unable to load class: app\\favicon.ico in \/var\/www\/apps\/favicon.ico\/controller.class.php or \/var\/www\/apps\/favicon.ico.class.php","errfile":"\/var\/www\/webroot\/index.php","errline":107,"errno":512}
2012-11-04T20:30:34+01:00 ERROR {"errstr":"Page index does not exist in app \\app\\favicon.ico.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:30:36+01:00 ERROR {"errstr":"Page assets does not exist in app \\app\\invoice.","errfile":"\/var\/www\/core\/reqHandler.class.php","errline":96,"errno":1024}
2012-11-04T20:30:37+01:00 ERROR {"errstr":"Undefined index: assets","errfile":"\/var\/www\/start\/finance\/api.class.php","errline":367,"errno":8}
